start_time, end_time, class, beam, duration_minutes
2016-11-08 23:47:30, 2016-11-08 23:52:30, 1, 3, 5.0
2016-11-09 00:22:30, 2016-11-09 00:27:30, 1, 2, 5.0
2016-11-09 00:32:30, 2016-11-09 00:47:30, 1, 2, 15.0
2016-11-09 01:02:30, 2016-11-09 02:07:30, 1, 2, 65.0
2016-11-09 00:07:30, 2016-11-09 00:17:30, 1, 3, 10.0
2016-11-09 14:42:30, 2016-11-09 14:47:30, 1, 3, 5.0
2016-11-12 05:52:30, 2016-11-12 05:57:30, 1, 2, 5.0
2016-11-17 08:27:30, 2016-11-17 08:32:30, 1, 3, 5.0
2016-11-18 15:32:30, 2016-11-18 15:37:30, 1, 2, 5.0
2016-11-18 15:42:30, 2016-11-18 16:02:30, 1, 2, 20.0
2016-11-18 21:22:30, 2016-11-18 21:42:30, 1, 2, 20.0
2016-11-18 22:17:30, 2016-11-18 22:22:30, 1, 2, 5.0
2016-11-18 21:42:30, 2016-11-18 22:17:30, 3, 2, 35.0
2016-11-18 20:17:30, 2016-11-18 20:22:30, 1, 3, 5.0
2016-11-18 21:52:30, 2016-11-18 21:57:30, 1, 3, 5.0
2016-11-18 22:02:30, 2016-11-18 22:12:30, 1, 3, 10.0
2016-11-18 22:17:30, 2016-11-18 22:22:30, 1, 3, 5.0
2016-11-19 00:27:30, 2016-11-19 00:32:30, 1, 1, 5.0
2016-11-19 10:42:30, 2016-11-19 10:47:30, 3, 1, 5.0
2016-11-23 08:47:30, 2016-11-23 08:52:30, 1, 3, 5.0
2016-11-23 17:32:30, 2016-11-23 17:37:30, 1, 3, 5.0
2016-11-24 08:02:30, 2016-11-24 08:07:30, 3, 3, 5.0
2017-05-04 12:37:30, 2017-05-04 12:42:30, 1, 2, 5.0
2017-05-04 12:17:30, 2017-05-04 12:42:30, 1, 3, 25.0
2017-05-05 10:27:30, 2017-05-05 10:32:30, 1, 2, 5.0
2017-05-06 00:17:30, 2017-05-06 00:22:30, 3, 3, 5.0
2017-05-07 01:12:30, 2017-05-07 01:17:30, 3, 3, 5.0
2017-05-08 11:22:30, 2017-05-08 11:27:30, 1, 3, 5.0
2017-05-08 01:42:30, 2017-05-08 01:47:30, 3, 3, 5.0
